year,date,siteID,blockID,plotID,treatment,starttime,stoptime,time,PAR,soiltemp,vegHeight,nee,gpp,rsqd,chamber,removal,weather,flag,comment,turfID,soilmoisture,recorder,tempK,starttime_Reco,stoptime_Reco,time_Reco,PAR_Reco,soiltemp_Reco,vegHeight_Reco,Reco,rsqd_Reco,chamber_Reco,removal_Reco,weather_Reco,flag_Reco,comment_Reco,turfID_Reco,soilmoisture_Reco,recorder_Reco,tempK_Reco,delta
2017,2017-07-13,Veskre,Ves3,Ves3G,G,2017-07-13T13:43:20Z,2017-07-13T13:45:20Z,120,509.65479999999997,11.8,NA,-1.9742950819343112,-7.635784074880963,0.9771400618665789,1,post,Cloudy,NA,NA,NA,66.925,Overcast,289.24899999999997,2017-07-13T13:45:45Z,2017-07-13T13:47:45Z,120,1.626136,11.8,NA,5.661488992946651,0.9910669523259849,1,post,Cloudy,NA,NA,NA,66.925,Overcast,288.9985,145
2017,2017-07-12,Veskre,Ves3,Ves3G,G,2017-07-12T08:51:30Z,2017-07-12T08:52:35Z,65,345.0893939393939,10.4,NA,-1.6048436277529918,-5.095703686758768,0.8136058037990529,2,post,Cloudy,NA,NA,NA,69.125,cloudy with rain; occasional sun,285.19599999999997,2017-07-12T08:54:07Z,2017-07-12T08:55:17Z,70,1.380281690140845,10.4,NA,3.4908600590057763,0.945644766373228,2,post,Cloudy,NA,NA,NA,69.125,cloudy with rain; occasional sun,285.19599999999997,157
2017,2017-07-12,Veskre,Ves3,Ves3G,G,2017-07-12T09:39:02Z,2017-07-12T09:40:37Z,95,434.46458333333334,10.5,NA,-1.2385834299780834,-6.080539079777006,0.8696339187072749,2,post,Cloudy,NA,NA,NA,69.125,cloudy with rain; occasional sun,287.428,2017-07-12T09:41:06Z,2017-07-12T09:43:06Z,120,1.8132231404958679,10.5,NA,4.841955649798923,0.9732798378690889,2,post,Cloudy,NA,NA,NA,69.125,cloudy with rain; occasional sun,287.70099999999996,124
2017,2017-07-13,Veskre,Ves3,Ves3G,G,2017-07-13T08:44:05Z,2017-07-13T08:45:35Z,90,253.8967032967033,10.4,NA,0.11251542206148064,-3.740610606761627,0.04137382626773967,2,post,Overcast,NA,NA,NA,66.925,Overcast,284.9455,2017-07-13T08:46:21Z,2017-07-13T08:48:01Z,100,1.4188118811881187,10.4,NA,3.8531260288231075,0.9908680108835793,2,post,Overcast,NA,NA,NA,66.925,Overcast,284.9455,136
2017,2017-07-13,Veskre,Ves3,Ves3G,G,2017-07-13T13:04:59Z,2017-07-13T13:06:19Z,80,590.320987654321,11.8,NA,-1.3171813858502301,-8.070743932798296,0.9065123034115369,2,post,Cloudy,NA,NA,NA,66.925,Overcast,288.202,2017-07-13T13:07:13Z,2017-07-13T13:08:53Z,100,2.5297029702970297,11.8,NA,6.753562546948066,0.9761317207577177,2,post,Cloudy,NA,NA,NA,66.925,Overcast,288.202,134
2015,2015-07-29,Veskre,Ves3,Ves3GB,GB,2015-07-29T08:25:00Z,2015-07-29T08:26:30Z,90,562.121052631579,NA,0.03,-5.301463390286779,-11.982460257102314,0.9864829001275155,1,pre,NA,pre,NA,NA,NA,NA,294.50670833333334,2015-07-29T08:27:00Z,2015-07-29T08:28:30Z,90,18.824736842105263,NA,0.03,6.680996866815534,0.983980625340023,1,pre,NA,pre,NA,NA,NA,NA,293.94800416666664,120
2015,2015-07-29,Veskre,Ves3,Ves3GB,GB,2015-07-29T12:32:30Z,2015-07-29T12:33:40Z,70,329.84933333333333,NA,0.03,-1.1279486437192199,-4.712926035164243,0.9654005149400217,1,pre,NA,pre,NA,NA,NA,NA,293.4873333333333,2015-07-29T12:34:30Z,2015-07-29T12:36:00Z,90,18.246947368421054,NA,0.03,3.5849773914450225,0.9641948817105537,1,pre,NA,pre,NA,NA,NA,NA,293.5623333333333,120
2015,2015-07-29,Veskre,Ves3,Ves3GB,GB,2015-07-29T12:59:00Z,2015-07-29T13:00:30Z,90,526.0331578947369,NA,0.03,-2.6593262848765127,-6.244303676321535,0.9880276682671535,1,pre,NA,pre,NA,NA,NA,NA,295.5070833333333,2015-07-29T12:34:30Z,2015-07-29T12:36:00Z,90,18.246947368421054,NA,0.03,3.5849773914450225,0.9641948817105537,1,pre,NA,pre,NA,NA,NA,NA,293.5623333333333,1470
2017,2017-07-12,Veskre,Ves3,Ves3GB,GB,2017-07-12T08:53:20Z,2017-07-12T08:55:00Z,100,270.14809523809527,10.8,NA,0.5303526138685454,-1.6397851824070915,0.9172212164635531,1,post,Cloudy,NA,NA,NA,76.775,cloudy with rain; occasional sun,285.9935,2017-07-12T08:55:55Z,2017-07-12T08:57:55Z,120,1.21008,10.8,NA,2.170137796275637,0.9484756970200324,1,post,Cloudy,NA,NA,NA,76.775,cloudy with rain; occasional sun,285.743,155
2017,2017-07-12,Veskre,Ves3,Ves3GB,GB,2017-07-12T10:55:30Z,2017-07-12T10:57:30Z,120,1106.7292,11.4,NA,-2.566325205145846,-7.9662460239626105,0.9852624096792559,1,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,294.00399999999996,2017-07-12T10:57:55Z,2017-07-12T10:59:55Z,120,5.840876,11.4,NA,5.3999208188167644,0.9859043054067399,1,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,293.2535,145
