siteID,blockID,treatment,plotID,burial_length,elements,value,detection_limit,burial_date,retrieval_date,notes
Ulvehaugen,Ulv2,FB,Ulv2FB,36,P,6.96,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FB,Ulv2FB,36,Fe,1.32,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FB,Ulv2FB,36,Mn,0.44,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FB,Ulv2FB,36,Zn,0.92,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FB,Ulv2FB,36,S,36.01,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FB,Ulv2FB,36,Al,5.77,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Ca,550.07,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Mg,71.09,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,K,121.31,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,P,0.8,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Fe,1.35,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Mn,0.49,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Zn,0.72,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,S,9.71,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GB,Ulv2GB,36,Al,7.85,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,NO3-N,2.02,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Ca,1538.86,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Mg,135.58,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,K,18.48,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,P,0.93,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Fe,1.08,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Mn,0.22,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Zn,0.51,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,S,20.15,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,GF,Ulv2GF,36,Al,6.95,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,NO3-N,2.06,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Ca,1071.78,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Mg,147.52,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,K,63.4,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,P,1.29,0.2,2021-08-04,2021-09-09,NA
